Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,138.5769,49.66055,327.7382,224.6702,16.54325
1.010585,0.5056547,159.192,138.7748,49.2954,9.576399,164.7729,359.9405
2.017201,3.275086,0.635403,140.8557,47.03367,9.771261,165.6632,-1.007122E-05
3.026712,0,0.118694,140.8557,47.03367,9.771824,165.6633,1.082929E-07
4.035337,0.4961521,0.03956468,140.364,47.00835,9.772432,165.6636,1.082931E-07
5.037852,0.2134603,0,140.1564,47.05363,9.773021,165.6633,2.165865E-07
6.043869,0.1333985,0,140.026,47.08168,9.773534,165.6633,0
7.052349,0.1206344,0.07912936,139.9081,47.10684,9.774098,165.6635,0
