Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,31.63,-0.68,0,22.70003,0
0.2124066,0.09349969,58.32817,31.63,-0.68,36.42009,28.41895,358.3556
0.4232401,0.03076458,14.59402,31.63,-0.68,44.00983,41.39404,359.1655
0.6386669,0.05573559,4.295164,31.63,-0.68,46.50872,45.41596,359.9135
0.8540415,1.192093E-07,0.1350823,31.63,-0.68,46.70844,45.73642,359.9847
1.061298,0,0,31.63,-0.68,46.74456,45.79445,-0.002255126
1.276656,0,4.298262,31.63,-0.68,42.58296,45.27349,359.9794
1.49202,0,8.470674,31.63,-0.68,35.2546,40.98077,359.8997
1.707387,0,3.53258,31.63,-0.68,32.18086,39.25165,359.9761
1.922754,0,3.246525,31.63,-0.68,28.96556,39.17253,-0.004803088
2.138124,0,1.476227,31.63,-0.68,27.46663,39.25916,-0.000482081
2.35349,0,0.6114239,31.63,-0.68,27.20247,38.79034,-0.0005126117
2.568855,0,11.9805,31.63,-0.68,15.35304,39.7911,0.01796991
2.784376,0,8.677496,31.63,-0.68,6.666512,39.60784,0.0001839513
2.999588,0,1.247025,31.63,-0.68,5.342287,39.57844,-3.183462E-05
3.214956,0,0.03956468,31.63,-0.68,5.154099,39.57427,-7.072227E-06
3.430321,0,0,31.63,-0.68,5.120051,39.57352,-1.178641E-06
3.645695,0,0,31.63,-0.68,5.115047,39.5734,-1.071484E-07
3.861762,0,0,31.63,-0.68,5.114314,39.5733,4.285931E-07
4.076421,0,0,31.63,-0.68,5.114208,39.57321,2.142965E-07
4.291887,0,0,31.63,-0.68,5.114191,39.5731,4.28593E-07
4.507155,0,6.162597,31.63,-0.68,4.69961,33.39063,359.987
4.72252,0,18.97744,31.63,-0.68,6.020995,14.5402,0.07055614
4.937889,0,12.7729,31.63,-0.68,9.396878,2.219102,0.07605281
5.153254,0,1.901483,31.63,-0.68,9.969919,0.3572272,0.01531641
5.368621,0,1.797355,31.63,-0.68,10.26378,1.834531,-0.0004348865
5.583988,0,15.41225,31.63,-0.68,11.95092,17.13621,359.9187
5.799378,0,14.92331,31.63,-0.68,13.59698,31.9299,359.9512
6.014721,0,2.523425,31.63,-0.68,13.83928,34.4859,359.9903
6.230088,0,0.2036103,31.63,-0.68,13.95037,34.73481,-0.001440103
6.445455,0,5.338881,31.63,-0.68,14.77084,40.01605,359.9815
6.660825,0,3.820616,31.63,-0.68,15.53429,43.80931,359.9928
