Time,State,LastTime
145.5375,TryGoHome,29.98932
244.897,GoWithGoodMan,18.12123
292.8754,GoWithGoodMan,1.131012
346.9211,GoWithGoodMan,0.6830139
353.7426,GoWithGoodMan,3.414215
