Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
4.951375,0,0,99.64,14.48,327.7382,224.6702,16.54325
5.904831,0.08999844,113.304,99.64,14.48,359.4011,120.0274,2.668188E-08
6.916395,0,33.99374,99.64,14.48,10.35401,152.154,359.7629
7.930076,0.9569705,3.081805,99.20547,13.65088,11.61313,155.2708,-3.769741E-05
8.940241,4.97707,0,98.69979,9.046122,11.61378,155.2712,6.537138E-07
9.950809,0.05895512,22.38756,98.75807,9.05444,9.307358,177.6315,0.3572915
10.95478,0,21.20756,98.75807,9.05444,9.470608,166.8455,0.2552252
11.96614,1.801577,11.37275,97.18251,9.786631,10.35654,155.2406,4.81692E-05
