Time,State
176.6732,TalkWithManInCafe
231.9935,TryGoInRain
312.54,WalkInStreetOne
348.06,SeeBuilding
352.08,BorrowUmbrella
412.68,WalkInStreetTwo
467.82,SeeTakePhoto
525.28,SeeGirlStreetTwo
530.4872,FindGirlStreetTwo
543.18,WalkInStreetThree
567.44,WalkOutStreetThree
580.9,InBusStop
602.0441,WalkWithGirl
693.56,WalkInStreetFour
710.9149,ListenToMusic
764.4,WalkOutStreetFour
813.66,WalkIntoPeople
848.6683,WalkAcrossRoadWithGirl
858.6854,DepartFromGirl
858.8901,FindGirl
899.18,WalkInStreetColorful
935.02,PlayEndAnimation
947.9686,End
