Time,State
59.61598,TalkWithManInCafe
68.14788,TryGoInRain
134.06,WalkInStreetOne
162.9,SeeBuilding
187.94,BorrowUmbrella
249.34,WalkInStreetTwo
303.7,SeeTakePhoto
320.18,SeeGirlStreetTwo
325.3721,FindGirlStreetTwo
339.8,WalkInStreetThree
365.44,WalkOutStreetThree
387.74,InBusStop
402.285,WalkWithGirl
458.92,WalkInStreetFour
471.8018,ListenToMusic
530.9,WalkOutStreetFour
565.36,WalkIntoPeople
600.3609,WalkAcrossRoadWithGirl
610.3749,DepartFromGirl
611.4165,FindGirl
689.14,WalkInStreetColorful
726.96,PlayEndAnimation
733.7095,End
