Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
23.60264,0,0,99.64,14.48,327.7382,224.6702,16.54325
24.59068,0.08999844,113.304,99.64,14.48,359.4011,120.0274,5.336377E-08
25.60086,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
26.61186,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
27.6129,0,0,99.64,14.48,359.4011,120.0274,2.668188E-08
28.61437,0,15.8205,99.64,14.48,357.0285,135.3649,0.2117447
29.62509,0,151.5998,99.64,14.48,356.907,77.56228,0.04012819
30.63551,0,153.8499,99.64,14.48,351.5946,108.79,0.353237
31.63831,0,123.9975,99.64,14.48,23.56176,213.4495,359.9899
32.64052,0,27.02487,99.64,14.48,22.17991,193.496,0.003292227
33.65079,1.065498,0.05595291,99.4721,13.44788,22.61784,193.3675,6.936808E-07
34.66134,2.203431,0.03956468,97.54876,12.78136,22.61841,193.3676,-9.249115E-07
35.67191,2.108159,0.03956468,97.17085,10.86178,22.61888,193.3675,-4.624574E-07
36.68247,2.338409,0.03956468,99.13517,9.812572,22.61919,193.3677,-6.936876E-07
37.69308,0.8408424,0.07912936,99.13206,9.055002,22.6195,193.3677,-4.624594E-07
38.70453,0.689133,0,99.47916,9.467951,22.61985,193.3677,-4.624606E-07
39.70745,1.814144,0,100.3281,8.428295,22.62006,193.3678,-6.93692E-07
40.71596,1.654343,112.0705,100.7244,9.995625,12.45104,190.1393,359.521
41.72864,1.376447,115.9199,99.7972,10.29501,9.259538,269.0817,0.01488614
42.73921,1.716449,69.04356,98.23926,9.663392,18.36592,286.4272,359.929
43.75084,0.9482079,202.1598,98.38066,10.45498,12.41089,131.3226,0.01272708
44.76345,1.792779,82.38424,98.05494,8.886494,359.5063,208.4453,0.003360018
45.77555,0.7868878,0,98.42799,8.428295,359.5116,208.5607,5.469686E-07
46.78815,0,22.49726,98.42799,8.428295,7.144197,187.3928,0.3642122
47.7981,0,4.667578,98.42799,8.428295,8.763719,182.9011,0.4414946
48.80891,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
49.81954,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
50.82979,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
51.84036,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
52.85656,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
53.86713,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
54.87804,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
55.88826,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
56.89883,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
57.90948,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
58.91996,0,0,98.42799,8.428295,8.763719,182.9011,0.4414946
59.92229,0,25.35337,98.42799,8.428295,359.8841,206.6595,0.177621
60.92239,0.6178067,1.648052,97.85893,8.644884,359.2526,208.5656,3.084519E-05
61.92339,0.8393759,0.03956468,97.17001,9.047928,359.2524,208.5659,5.336539E-08
62.93523,1.980029,0,95.2412,8.637789,359.2524,208.5659,5.336539E-08
63.9458,2.245353,0,93.35355,8.276945,359.2524,208.5659,5.336539E-08
64.9565,1.071337,0,93.5168,7.387771,359.2524,208.5659,0
65.96707,0.4320589,0,93.74879,7.090758,359.2524,208.5659,0
66.97787,2.207477,28.22626,93.47555,5.040699,359.9048,180.3767,0.04743769
67.98222,2.295308,71.38687,94.07052,2.86694,1.798873,163.5425,0.2383618
68.99287,2.137183,64.42088,94.28926,0.76544,14.30125,164.3148,0.01522304
70.00335,0.5343828,0.2373881,94.30245,0.2951717,13.8902,164.2307,1.978857E-06
71.01395,1.208137,19.97427,93.27895,-0.1402826,11.35139,183.9491,0.03280823
72.02531,0.7971857,35.50123,92.66073,-0.6390295,11.29668,165.3412,359.9867
73.03505,0.6830253,17.33282,92.45817,-1.246878,10.14181,155.3878,-0.001264778
74.04591,0.6966478,7.455316,93.07683,-1.551876,10.69073,149.6397,0.002426493
75.05654,0.6830204,2.033621,93.74261,-1.689632,10.78769,147.9855,2.802955E-05
76.06693,0.6966729,6.990103,94.071,-1.122016,11.2419,143.0946,0.002854072
77.07732,0.6966797,0.9298594,94.17012,-0.4324951,11.4066,143.1006,-6.401681E-05
78.08788,0.6830206,15.55286,94.23318,0.2460594,10.69106,129.7254,0.001451423
79.10003,0.6681699,9.415128,94.70189,0.2623272,12.20328,138.1204,8.647764E-05
80.1106,0.6830208,1.509732,95.16204,-0.2423496,10.4618,138.1744,-5.469702E-05
81.11088,0.6829969,0.07912936,95.61752,-0.751297,10.33673,138.169,-4.339294E-07
82.12214,0.6966431,0,96.0821,-1.270405,10.33671,138.169,-2.169647E-07
83.13201,0.6830099,0,96.36028,-1.877279,10.33671,138.169,-2.169647E-07
84.14258,0.6966853,0,96.75043,-2.449654,10.33671,138.169,-2.169647E-07
85.15314,0.6830085,0,97.19346,-2.969048,10.33671,138.169,-2.169647E-07
86.16371,0.4648173,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
87.17435,0,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
88.18508,0,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
89.19542,0,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
90.20598,0,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
91.21655,0,0,97.50341,-3.315432,10.33671,138.169,-2.169647E-07
