Time,State
56.4069,TalkWithManInCafe
77.54158,TryGoInRain
157.94,WalkInStreetOne
207.24,SeeBuilding
212.18,BorrowUmbrella
257.66,WalkInStreetTwo
291.18,SeeTakePhoto
337.32,SeeGirlStreetTwo
342.5179,FindGirlStreetTwo
350.66,WalkInStreetThree
386.22,WalkOutStreetThree
398.12,InBusStop
409.0622,WalkWithGirl
496.36,WalkInStreetFour
505.9626,ListenToMusic
569.28,WalkOutStreetFour
636.42,WalkIntoPeople
671.4148,WalkAcrossRoadWithGirl
681.4353,DepartFromGirl
682.448,FindGirl
746.74,WalkInStreetColorful
771.5,PlayEndAnimation
788.8892,End
