Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,31.63,-0.68,0,22.70003,0
0.2013279,0.07154992,30.50346,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.4104203,0.03453314,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.613185,0.07369554,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.828553,0.0002213717,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.051445,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.266812,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.482796,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.684123,0,2.596022,31.63,-0.68,23.57586,6.688415,0.03904682
1.88622,0,6.045366,31.63,-0.68,21.73977,10.13405,0.01764027
2.101588,0,1.852414,31.63,-0.68,21.12807,8.324558,0.0008032928
2.317403,0,0.03956468,31.63,-0.68,21.03992,8.058695,8.038455E-05
2.532772,0,0.606276,31.63,-0.68,20.95008,7.42671,-0.0005784663
2.748585,0,2.487003,31.63,-0.68,22.87102,7.419167,359.9906
2.964061,0,3.140682,31.63,-0.68,25.80454,8.630257,359.9926
3.179317,0,0.4230307,31.63,-0.68,26.37939,8.853937,-0.00130729
3.3947,0,0,31.63,-0.68,26.46112,8.885739,-0.0002338911
3.610048,0,0,31.63,-0.68,26.47593,8.891492,-3.457551E-05
3.825856,0,0,31.63,-0.68,26.47809,8.892336,-5.484495E-06
4.040783,0,0,31.63,-0.68,26.4784,8.892463,-9.538277E-07
4.241958,0.03569716,0,31.63227,-0.6443812,26.47851,8.892483,-7.153714E-07
4.457026,0.4309255,1.342421,31.69545,-0.2181851,26.54398,10.38197,7.27709E-05
4.672611,0.6826063,0.6303452,31.82083,0.4527941,26.52639,11.18218,4.150884E-05
4.887679,0.7545998,0.1810674,31.96765,1.192972,26.36429,11.20262,-0.000485971
5.103044,0.7546,2.148803,32.10787,1.934401,25.36959,9.286679,-0.004433456
5.318412,0.7545989,1.616482,32.22461,2.679897,26.35522,8.157104,0.001434455
5.533897,0.6859998,0.1476574,32.32146,3.359024,26.68138,7.979009,0.0003712195
5.749146,0.7545989,0,32.42609,4.106334,26.74038,7.94684,5.807792E-05
5.964535,0.7546006,0.73333,32.5325,4.853391,27.11886,8.619288,-0.0008405239
6.165066,0.6860003,0.2894009,32.63592,5.531549,27.27894,9.054285,-0.0006044618
6.384529,0.7545981,10.82865,32.7919,6.269085,28.8431,19.74429,359.95
6.599898,0.7545992,16.23763,33.10246,6.9543,31.42054,35.71131,359.8997
6.815268,0.685999,13.06934,33.53287,7.48669,33.25963,48.66467,359.9175
