Time,Distance,angle,PosX,PosZ,AngleX,AngleY,AngleZ
0,0,0,31.63,-0.68,0,22.70003,0
0.209909,0.07539549,30.50346,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.4161752,0.02691901,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.6326481,0.07614958,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
0.8480164,0.001535892,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.061357,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.27671,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.492098,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.707447,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
1.922809,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
2.138177,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
2.34235,0,0,31.63,-0.68,24.35391,4.192437,-1.171458E-07
2.550906,0,11.52775,31.63,-0.68,24.92458,15.44177,359.9118
2.766126,0,17.81498,31.63,-0.68,38.46087,26.15457,359.7061
2.981491,0,4.802774,31.63,-0.68,43.26777,26.62238,359.9507
3.196884,0,4.547381,31.63,-0.68,47.61337,25.72522,0.01068151
3.398788,0,3.91524,31.63,-0.68,49.44773,22.43315,0.02080915
3.602631,0,2.712277,31.63,-0.68,50.01202,19.73105,0.008571918
3.818275,0,1.187488,31.63,-0.68,50.1588,18.44984,0.001688458
4.033334,0,0.3677945,31.63,-0.68,50.18163,17.89349,0.00033132
4.248702,0,11.2675,31.63,-0.68,41.26988,10.65994,359.5815
4.464065,0,8.419247,31.63,-0.68,37.18458,3.613718,359.8878
4.679435,0,1.142778,31.63,-0.68,36.76484,2.497888,359.9827
4.894797,0,0,31.63,-0.68,36.70633,2.339133,-0.00304866
5.110208,0,0,31.63,-0.68,36.69578,2.310377,-0.0004483452
5.313406,0,0,31.63,-0.68,36.69428,2.306263,-7.826091E-05
5.528822,0,0,31.63,-0.68,36.694,2.305488,-1.144628E-05
5.744139,0,0.6532822,31.63,-0.68,37.04787,2.866717,-0.004233996
5.959506,0,4.912874,31.63,-0.68,39.36259,7.18211,359.9698
6.174875,0,5.83521,31.63,-0.68,43.01297,11.62775,359.902
6.390239,0,5.750187,31.63,-0.68,46.21507,16.46534,359.9513
6.605606,0,0.7885436,31.63,-0.68,46.71573,17.18974,359.992
6.820972,0,0,31.63,-0.68,46.78963,17.29622,-0.001189608
7.036345,0,0,31.63,-0.68,46.80013,17.31136,-0.0002070373
7.237184,0,0,31.63,-0.68,46.80196,17.3141,-3.1805E-05
7.452547,0,0,31.63,-0.68,46.80221,17.3145,-4.989042E-06
7.667933,0,0,31.63,-0.68,46.80234,17.31456,6.236318E-07
7.883586,0,0,31.63,-0.68,46.80246,17.31459,1.8709E-06
8.098646,0,0,31.63,-0.68,46.8026,17.31462,1.24727E-06
8.314013,0,0,31.63,-0.68,46.80269,17.31466,1.247272E-06
8.529387,0,0,31.63,-0.68,46.80278,17.31468,6.236368E-07
8.744881,0,0,31.63,-0.68,46.80286,17.31471,-1.247276E-06
8.960114,0,0,31.63,-0.68,46.80294,17.31474,-1.247278E-06
9.164315,0,0,31.63,-0.68,46.80302,17.31476,0
9.37255,0,0,31.63,-0.68,46.8031,17.31479,-1.247281E-06
9.588466,0,0,31.63,-0.68,46.80314,17.31481,-3.741846E-06
9.805191,0,0,31.63,-0.68,46.80314,17.3148,-5.612769E-06
10.02033,0,1.093067,31.63,-0.68,47.42492,18.21635,359.9858
10.2357,0,7.616025,31.63,-0.68,52.39033,23.92616,359.8929
10.45142,0,3.253876,31.63,-0.68,54.88203,26.09394,359.9642
10.65317,0,3.55654,31.63,-0.68,58.32231,26.8586,359.986
10.86854,0,1.812676,31.63,-0.68,60.1686,26.8451,-0.002143661
11.08411,0,1.956423,31.63,-0.68,60.44806,25.1165,359.9888
11.29116,0,19.15822,31.63,-0.68,58.67598,5.913195,359.8395
11.50644,0,7.02515,31.63,-0.68,58.45764,358.991,359.9722
11.72181,0,0.9999337,31.63,-0.68,58.46126,357.9735,-0.004076061
11.92218,0,0,31.63,-0.68,58.46249,357.8289,-0.0007122849
12.12278,0,0,31.63,-0.68,58.46275,357.8036,-0.000124462
12.33814,0,0,31.63,-0.68,58.46283,357.799,-1.815926E-05
12.53818,0,0,31.63,-0.68,58.46292,357.7983,-3.264594E-06
12.75355,0,0,31.63,-0.68,58.46299,357.7982,-8.161502E-07
12.95859,0,0,31.63,-0.68,58.46307,357.7979,-2.04038E-07
13.16464,0,0,31.63,-0.68,58.46313,357.7978,0
13.36517,0,0,31.63,-0.68,58.4632,357.7975,2.040387E-07
13.56578,0,0,31.63,-0.68,58.46327,357.7974,2.040391E-07
13.78128,0,0,31.63,-0.68,58.46334,357.7971,0
13.98152,0,0,31.63,-0.68,58.46341,357.797,-2.0404E-07
14.19739,0,0,31.63,-0.68,58.4635,357.7968,-6.121216E-07
14.39942,0,0,31.63,-0.68,58.46357,357.7965,0
14.61474,0,0,31.63,-0.68,58.46366,357.7964,-4.080829E-07
14.83068,0,0,31.63,-0.68,58.46373,357.7961,-2.040419E-07
15.04605,0,0,31.63,-0.68,58.4638,357.7959,0
15.24656,0,0,31.63,-0.68,58.46387,357.7957,2.040426E-07
15.4477,0,0,31.63,-0.68,58.46394,357.7956,-2.040431E-07
15.66184,0,0,31.63,-0.68,58.46401,357.7953,2.040434E-07
15.86689,0,0,31.63,-0.68,58.46408,357.7951,-2.040439E-07
16.0829,0,0,31.63,-0.68,58.46416,357.7949,-4.080888E-07
16.29802,0,0,31.63,-0.68,58.46425,357.7947,-2.040449E-07
16.51356,0,0,31.63,-0.68,58.46432,357.7945,4.080904E-07
16.72987,0,0,31.63,-0.68,58.4644,357.7943,0
16.94583,0,0,31.63,-0.68,58.46448,357.7941,-2.040462E-07
17.16158,0,0.3506896,31.63,-0.68,58.2228,358.253,0.0006053305
17.37776,0,0.2947367,31.63,-0.68,58.17319,358.6654,3.855191E-05
17.57857,0,0.1640456,31.63,-0.68,58.18626,359.0238,-9.717437E-06
